,registration_date,years_of_study,family_size,loan_amount,total_career_years,birth_date,contract_type,is_male,province,zip_code,user_id,age,group,history_type,monthly_expense
0,2012-01-21,1.0,0.0,187956,3.0,1987-10-15,A,0.0,A,300057,821302,24.0,A,A,14500.0
1,2012-01-21,8.0,0.0,170049,0.0,1982-04-27,B,1.0,A,300095,821429,30.0,B,B,26000.0
2,2012-01-21,,0.0,108378,,1969-08-30,C,1.0,A,300051,821637,42.0,B,B,30000.0
3,2012-01-25,5.0,0.0,134934,5.0,1970-10-21,D,0.0,A,300066,827397,41.0,B,B,20000.0
4,2012-01-25,15.0,0.0,166482,15.0,1977-08-03,D,1.0,A,300097,827555,34.0,B,B,20000.0
5,2012-01-29,13.0,0.0,158550,13.0,1977-09-12,D,1.0,A,301207,831741,34.0,B,B,15000.0
6,2012-01-29,8.0,0.0,182376,0.0,1979-08-14,A,1.0,A,300067,831839,32.0,A,A,17000.0
7,2012-01-29,,0.0,169890,,1978-09-05,C,1.0,A,300058,831848,33.0,B,B,40000.0
8,2012-01-29,2.0,0.0,194022,2.0,1991-11-02,D,1.0,A,300093,831861,20.0,A,B,10424.0
9,2012-01-30,2.0,0.0,183864,2.0,1992-12-22,B,1.0,A,300097,839006,19.0,A,B,15000.0
10,2012-01-30,32.0,0.0,114549,32.0,2056-01-12,A,1.0,A,300066,839037,56.0,B,B,40809.0
11,2012-01-30,2.0,0.0,183051,2.0,1984-06-21,B,1.0,A,301209,839538,28.0,B,B,15000.0
12,2012-05-02,,0.0,158550,,2055-04-14,C,1.0,A,300064,845870,57.0,B,B,50000.0
13,2012-05-02,,0.0,207543,,1978-12-17,C,1.0,A,300055,845873,33.0,B,B,50000.0
14,2012-05-02,,0.0,171408,,1983-04-15,C,0.0,A,300065,845879,29.0,A,A,30000.0
15,2012-09-02,,0.0,139839,,1978-09-10,C,1.0,A,300097,848956,33.0,B,B,30000.0
16,2012-09-02,3.0,0.0,159249,3.0,1988-10-03,B,1.0,A,300097,848992,23.0,A,B,15000.0
17,2012-02-26,2.0,0.0,171408,2.0,1983-02-05,D,0.0,A,300063,871938,29.0,B,B,20000.0
18,2012-02-26,5.0,0.0,101367,5.0,1980-09-15,B,1.0,A,300072,871941,31.0,B,B,15000.0
19,2012-02-26,,0.0,175188,,1979-01-04,C,1.0,A,300093,872047,33.0,B,B,50000.0
20,2012-02-29,3.0,0.0,160539,3.0,1984-06-27,D,1.0,A,300102,876013,28.0,B,B,15000.0
21,2012-02-29,2.0,0.0,198912,2.0,1982-12-15,B,1.0,A,300102,876029,29.0,A,B,20000.0
22,2012-02-29,,0.0,173016,,2059-08-10,C,1.0,A,300017,876068,53.0,B,B,50000.0
23,2012-02-29,36.0,0.0,152484,36.0,2058-07-01,A,1.0,A,300091,876079,54.0,B,A,43279.0
24,2012-02-29,2.0,0.0,166482,2.0,1990-02-15,B,1.0,A,300093,876086,22.0,A,B,15000.0
25,2012-11-03,,0.0,187956,,1978-04-25,C,1.0,A,300093,891627,34.0,B,B,30000.0
26,2012-03-17,,0.0,180117,,1966-06-01,C,1.0,A,300102,899726,46.0,B,B,50000.0
27,2012-03-17,2.0,0.0,171408,2.0,1990-09-07,B,1.0,A,300097,900084,21.0,A,B,15000.0
28,2012-03-17,18.0,0.0,137205,18.0,1970-12-18,A,1.0,A,300092,900094,41.0,B,B,30000.0
29,2012-03-26,4.0,0.0,160686,4.0,1979-03-12,D,1.0,A,300069,910191,33.0,A,A,20000.0
